0,1,2,3,4,5
"On Coxalgia, or Hip Disease.","['March, Alden.', 'Alden March']",USD,InStock,"Collins,",65.0
"Simonds Saws & Knives, Gold Medals and Highest Awards Everywhere. Atlanta 1895. Art Nouveau poster.","['Art Nouveau', '[Art Nouveau; Anonymous].', 'Anonymous']",,,"Livermore & Knight Co,",
"North Island, New Zealand, Sheet 3, northeast corner from Tauranga to Dannevirke, folding map on linen.",,USD,InStock,"Marcus F. Marks, Government Printer.",85.0
"Trade Receipts for wine and beer from Perth, Australia merchants 'H. Sherwood & Co., Wine & Spirit Merchants' and 'D. Nathan & Co., Bottle and Case Merchant'.","['West Australia.', 'West Australia']",USD,InStock,,75.0
"The American Trans-Continental Route via New York Central & Hudson River R. R. and Connections, the Only 4 Track Line. New York to Omaha; the Union and Central Pacific Railways, Omaha to San Francisco; and the Pacific Mail Steamship Company's Lines, from San Francisco to destination.",[New York Central & Hudson River R. R.].,USD,InStock,,375.0
Australian Red Cross Society circular entitled: Interim Directions for Sending Letters to Prisoners of War and Messages to Civilians in Japanese Hands.,[Red Cross Australia; Japan; WWII].,USD,InStock,,75.0
Two Postcards from Burlington Route of Scenes in National Parks.,,USD,InStock,Burlington.,15.0
"A View in Annamooka, One of the Friendly Isle's; View in Ulietea; A View in Matavai, Otaheite (variant title).","Webber, John.",USD,InStock,,60000.0
"Truth, Beauty, and Pintupi Painting.","['Myers, Fred R.', 'Fred R. Myers']",USD,InStock,"Visual Anthropology,",20.0
"American Wild Flowers in their Native Haunts. With Twenty Plates of Plants, Carefuly Colored After Nature; and Landscape Views of Their Localities, from Drawings on the Spot, by E. Whitfield.","Embury, Emma C. [Edwin Whitefield, artist].",USD,InStock,,1450.0
"Plan of the Attack on Forts Clinton & Montgomery upon the Hudsons River, which were stormed by his majesties forces under the command of Sir Henry Clinton KB, on Oct. 6, 1777.","Faden, William (after).",USD,InStock,,2750.0
Manual for Army Cooks 1896. Prepared under the Direction of the Commissary General of Subsistence.,"['US Army', '[Cookery; US Army].', 'Cookery']",,,"Government Printing Office,",
